order_id,customer_name,food_item,category,branch_location,payment_method,order_status,quantity,price,order_date,delivery_date,total_amount
ORD0,Ana,Pork,Fast Food,Manila,GCash,Pending,1,230.352537,2024-01-01T00:00:00,2024-01-02T00:00:00,230.352537
ORD1,Jose,Pork,Fast Food,Laguna,Cash,Pending,2,481.616906,2024-01-02T00:00:00,2024-01-03T00:00:00,963.2338121
ORD2,Pedro,Pork,Fried,Cavite,Cash,Cancelled,1,148.7518007,2024-01-03T00:00:00,2024-01-04T00:00:00,148.7518007
ORD3,Jose,Pork,Grilled,Manila,Card,Pending,1,107.3100279,2024-01-04T00:00:00,2024-01-05T00:00:00,107.3100279
ORD4,Jose,Burger,Fried,Manila,Card,Cancelled,2,461.654141,2024-01-05T00:00:00,2024-01-06T00:00:00,923.3082821
ORD5,Maria,Burger,Grilled,Laguna,Card,Completed,2,127.4594665,2024-01-06T00:00:00,2024-01-07T00:00:00,254.9189329
ORD6,Pedro,BBQ,Grilled,Laguna,GCash,Completed,1,496.7556784,2024-01-07T00:00:00,2024-01-08T00:00:00,496.7556784
ORD7,Pedro,Steak,Grilled,Laguna,GCash,Cancelled,3,480.5587448,2024-01-08T00:00:00,2024-01-09T00:00:00,1441.676234
ORD8,Pedro,Pork,Fried,Cavite,Card,Pending,4,154.808364,2024-01-09T00:00:00,2024-01-10T00:00:00,619.2334561
ORD9,Jose,BBQ,Grilled,Manila,GCash,Cancelled,1,315.0338503,2024-01-10T00:00:00,2024-01-11T00:00:00,315.0338503
ORD10,Ana,Steak,Fried,Laguna,Card,Pending,2,173.968119,2024-01-11T00:00:00,2024-01-12T00:00:00,347.936238
ORD11,Pedro,Chicken,Fast Food,Cavite,GCash,Completed,2,271.2620692,2024-01-12T00:00:00,2024-01-13T00:00:00,542.5241384
ORD12,Jose,Burger,Fast Food,Cavite,Cash,Pending,3,124.5700517,2024-01-13T00:00:00,2024-01-14T00:00:00,373.7101551
ORD13,Maria,Steak,Grilled,Cavite,Cash,Cancelled,4,189.5698351,2024-01-14T00:00:00,2024-01-15T00:00:00,758.2793405
ORD14,Ana,Chicken,Fried,Laguna,Card,Cancelled,1,245.3091186,2024-01-15T00:00:00,2024-01-16T00:00:00,245.3091186
ORD15,Maria,Steak,Fast Food,Laguna,GCash,Completed,1,275.4590001,2024-01-16T00:00:00,2024-01-17T00:00:00,275.4590001
ORD16,Ana,Burger,Fried,Manila,GCash,Pending,4,490.9985033,2024-01-17T00:00:00,2024-01-18T00:00:00,1963.994013
ORD17,Jose,Burger,Fried,Manila,Cash,Pending,1,423.1462583,2024-01-18T00:00:00,2024-01-19T00:00:00,423.1462583
ORD18,Juan,BBQ,Grilled,Laguna,Cash,Pending,4,394.9639777,2024-01-19T00:00:00,2024-01-20T00:00:00,1579.855911
ORD19,Ana,Pork,Fast Food,Cavite,Card,Completed,2,314.8165259,2024-01-20T00:00:00,2024-01-21T00:00:00,629.6330518
ORD20,Maria,Steak,Grilled,Cavite,Cash,Pending,4,435.9991042,2024-01-21T00:00:00,2024-01-22T00:00:00,1743.996417
ORD21,Jose,Steak,Grilled,Cavite,Card,Cancelled,1,235.7291343,2024-01-22T00:00:00,2024-01-23T00:00:00,235.7291343
ORD22,Ana,Chicken,Fast Food,Manila,Cash,Pending,4,383.5596451,2024-01-23T00:00:00,2024-01-24T00:00:00,1534.23858
ORD23,Juan,Burger,Fast Food,Cavite,Cash,Completed,3,497.5135902,2024-01-24T00:00:00,2024-01-25T00:00:00,1492.54077
ORD24,Juan,Steak,Fried,Manila,GCash,Pending,2,225.8515636,2024-01-25T00:00:00,2024-01-26T00:00:00,451.7031271
ORD25,Pedro,Burger,Fast Food,Manila,Cash,Pending,2,369.607014,2024-01-26T00:00:00,2024-01-27T00:00:00,739.2140279
ORD26,Pedro,Steak,Fried,Cavite,Cash,Cancelled,4,437.7259457,2024-01-27T00:00:00,2024-01-28T00:00:00,1750.903783
ORD27,Maria,BBQ,Fried,Cavite,Card,Pending,1,466.3230333,2024-01-28T00:00:00,2024-01-29T00:00:00,466.3230333
ORD28,Ana,Pork,Fried,Laguna,Cash,Cancelled,3,387.1730764,2024-01-29T00:00:00,2024-01-30T00:00:00,1161.519229
ORD29,Ana,Steak,Fast Food,Laguna,Card,Cancelled,2,213.4431694,2024-01-30T00:00:00,2024-01-31T00:00:00,426.8863387
ORD30,Pedro,Burger,Grilled,Cavite,Cash,Completed,2,230.5128606,2024-01-31T00:00:00,2024-02-01T00:00:00,461.0257213
ORD31,Ana,BBQ,Fried,Manila,Cash,Cancelled,1,108.3032128,2024-02-01T00:00:00,2024-02-02T00:00:00,108.3032128
ORD32,Ana,Steak,Grilled,Manila,Card,Cancelled,1,404.3543911,2024-02-02T00:00:00,2024-02-03T00:00:00,404.3543911
ORD33,Juan,Chicken,Grilled,Manila,GCash,Completed,3,117.0958424,2024-02-03T00:00:00,2024-02-04T00:00:00,351.2875273
ORD34,Pedro,Pork,Fast Food,Manila,Card,Cancelled,4,445.8609418,2024-02-04T00:00:00,2024-02-05T00:00:00,1783.443767
ORD35,Jose,Steak,Grilled,Manila,Card,Completed,1,147.4642458,2024-02-05T00:00:00,2024-02-06T00:00:00,147.4642458
ORD36,Pedro,BBQ,Grilled,Laguna,Card,Pending,4,168.7506049,2024-02-06T00:00:00,2024-02-07T00:00:00,675.0024194
ORD37,Jose,Chicken,Fast Food,Cavite,GCash,Completed,3,290.6105883,2024-02-07T00:00:00,2024-02-08T00:00:00,871.831765
ORD38,Juan,BBQ,Fried,Laguna,Cash,Cancelled,4,395.1521661,2024-02-08T00:00:00,2024-02-09T00:00:00,1580.608664
ORD39,Maria,BBQ,Grilled,Manila,Card,Completed,2,155.6008821,2024-02-09T00:00:00,2024-02-10T00:00:00,311.2017642
ORD40,Ana,Chicken,Fast Food,Manila,Card,Cancelled,4,276.02843,2024-02-10T00:00:00,2024-02-11T00:00:00,1104.11372
ORD41,Juan,BBQ,Grilled,Manila,GCash,Pending,3,293.1405098,2024-02-11T00:00:00,2024-02-12T00:00:00,879.4215293
ORD42,Ana,Chicken,Grilled,Manila,Card,Completed,3,184.9142567,2024-02-12T00:00:00,2024-02-13T00:00:00,554.74277
ORD43,Maria,Steak,Fried,Cavite,Cash,Pending,3,146.2233507,2024-02-13T00:00:00,2024-02-14T00:00:00,438.670052
ORD44,Maria,Chicken,Grilled,Manila,GCash,Cancelled,4,434.5683692,2024-02-14T00:00:00,2024-02-15T00:00:00,1738.273477
ORD45,Juan,Chicken,Fast Food,Cavite,Cash,Cancelled,2,300.9862599,2024-02-15T00:00:00,2024-02-16T00:00:00,601.9725198
ORD46,Maria,Pork,Grilled,Manila,Cash,Pending,1,105.7524944,2024-02-16T00:00:00,2024-02-17T00:00:00,105.7524944
ORD47,Jose,Chicken,Fried,Cavite,GCash,Completed,2,421.1925205,2024-02-17T00:00:00,2024-02-18T00:00:00,842.385041
ORD48,Maria,Chicken,Fried,Laguna,Card,Completed,4,492.3175222,2024-02-18T00:00:00,2024-02-19T00:00:00,1969.270089
ORD49,Ana,Steak,Fast Food,Manila,Cash,Cancelled,4,342.3704782,2024-02-19T00:00:00,2024-02-20T00:00:00,1369.481913
ORD50,Ana,Pork,Fried,Cavite,Cash,Pending,1,301.4833548,2024-02-20T00:00:00,2024-02-21T00:00:00,301.4833548
ORD51,Ana,Burger,Grilled,Laguna,Cash,Pending,4,451.3663452,2024-02-21T00:00:00,2024-02-22T00:00:00,1805.465381
